ENGINESIZE,CYLINDERS,FUELCONSUMPTION_COMB,CO2EMISSIONS
6.4,11,64.52,994
3.6,8,34.44,181
1.4,15,2.41,691
3.3,2,40.69,311
2,8,78.69,319
1.2,15,90.72,299
1.2,13,63.26,479
2.1,15,93.43,139
5.3,8,76.21,894
4.2,13,62.93,737
4.6,15,98.71,973
3.7,11,39.81,795
0.9,12,98.14,643
1.1,2,89.52,389
4.5,12,51.78,824
3.9,1,43.28,624
6.8,4,69.05,718
3.8,13,60.74,150
0.5,7,35.07,438
2.8,8,36.21,572
2.3,15,1.65,909
2,3,22.58,331
2.7,4,13.31,783
5.7,8,77.81,480
6.2,1,13.82,778
4.9,7,83.15,368
1,15,52.28,494
4.3,15,90.16,715
3.9,7,1.66,206
5.8,9,10.21,750
3.3,7,58.67,841
0.5,14,99.44,907
4.3,13,96.5,137
5,11,67.37,253
0.8,14,45.87,724
4,11,7.02,265
1.5,2,88.19,824
2.3,1,49.36,243
6.7,2,53.38,766
5.3,10,87.06,708
3.1,1,59.85,430
5.4,12,39.73,855
5.2,15,32.65,343
1.6,11,52.09,517
1.1,11,62.96,891
1.7,4,39.09,349
1.5,4,64.46,169
6.6,5,23.35,104
2.5,7,45.27,765
5.1,6,98.31,899
1.8,6,75.23,493
2,14,10.07,206
1.9,15,81.44,509
2,8,18.45,682
3.3,14,94.31,511
0.7,6,6.3,916
4.5,12,29.66,908
6.2,3,66.86,956
6.5,5,2.49,265
1.5,10,77.71,718
1.4,11,13.67,378
2.6,9,26.36,781
1.7,1,78.71,346
5,11,87.58,896
2.9,15,83.98,488
3.4,14,18.21,731
2.7,4,17.77,809
3.3,2,44.58,174
6.9,4,96.09,103
2.2,5,84.19,622
1.8,5,25.82,513
0.7,12,62.93,124
5.6,11,15.46,690
6.6,5,58.96,154
0.8,10,27.17,343
1.9,1,4.88,849
4.2,10,7.96,690
3.7,6,20.68,789
5.5,14,91.36,591
1.9,9,96.26,812
3.9,3,17.96,987
5.9,15,20.9,719
2.9,5,10.26,424
5.9,1,43.67,966
4.1,8,41.42,813
6.5,13,69.49,190
5.6,11,30.16,121
4.5,9,73.92,796
6.3,1,74.7,691
3.5,7,99.82,900
4,9,50.92,313
4.4,6,76.48,444
4.1,13,36.11,858
5.4,11,75.25,129
4.6,2,43.98,425
1.7,6,30.3,122
2.9,4,99.91,508
2,14,72.79,228
4.8,4,77.32,769
2.9,11,73.3,882
2.7,1,72.39,801
5.3,5,21.65,413
3.9,15,15.67,361
3.4,11,79.75,718
5.6,12,2.98,775
4.4,15,5.86,895
6,10,67.22,460
3.9,8,36.83,756
3.9,12,93.04,751
2.5,6,96.14,206
1,8,62.08,640
3.7,3,49.34,565
3.7,6,22.56,961
0.6,15,67.06,919
6.6,13,7.35,590
4.4,11,71.44,217
5.6,5,11.54,796
6.4,3,60.29,303
3,12,67.8,287
6.7,2,67.57,733
3.6,10,77.58,224
0.5,7,72.24,546
5.3,10,97.09,101
6.7,14,72.54,562
2.7,8,54.18,295
6,7,49.29,153
1.4,4,9.05,830
0.9,7,22.77,471
5.7,5,86.11,879
3.3,5,6.68,619
